user_id,item_id,story,casting,direction,images,music,rating
.B8l96iDeCvYGIKBOAjXGz4-/,322250,4,5,5,4,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,322539,4,5,4,5,5,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,241898,5,4,5,3,5,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,329605,4,5,4,5,4,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,85316,4,4,3,3,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,325467,2,3,2,2,2,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,83982,5,4,5,4,5,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,329623,4,4,3,3,2,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,320824,5,5,5,5,2,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,630,2,2,1,1,1,2.0
.B8l96iDeCvYGIKBOAjXGz4-/,240796,4,3,3,4,2,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,320680,5,5,4,4,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,324028,5,5,3,3,4,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,161374,5,5,4,4,4,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,320853,3,1,1,1,1,1.0
.B8l96iDeCvYGIKBOAjXGz4-/,327924,3,2,3,2,2,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,324246,5,5,5,3,5,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,83294,5,5,5,4,4,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,329345,3,5,5,4,4,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,325801,4,5,4,4,4,5.0
0At_OMWXfiONFAQ-/,162811,4,5,5,5,4,5.0
0At_OMWXfiONFAQ-/,87248,3,2,2,3,2,2.0
0At_OMWXfiONFAQ-/,327994,5,5,5,5,4,5.0
0At_OMWXfiONFAQ-/,329400,3,5,4,5,4,4.0
0At_OMWXfiONFAQ-/,330569,3,4,4,3,3,3.0
0At_OMWXfiONFAQ-/,338475,2,3,4,4,3,3.0
0At_OMWXfiONFAQ-/,325624,4,1,4,4,3,3.0
0At_OMWXfiONFAQ-/,322931,5,5,2,4,5,5.0
0At_OMWXfiONFAQ-/,326052,5,5,5,4,5,5.0
0At_OMWXfiONFAQ-/,332673,3,5,3,4,3,3.0
0At_OMWXfiONFAQ-/,238828,3,4,3,3,4,3.0
0At_OMWXfiONFAQ-/,327912,4,3,5,4,5,4.0
0At_OMWXfiONFAQ-/,342451,4,5,5,4,5,5.0
0At_OMWXfiONFAQ-/,342785,2,3,3,2,3,3.0
0At_OMWXfiONFAQ-/,324256,4,5,5,4,4,4.0
0At_OMWXfiONFAQ-/,327786,2,1,1,1,2,1.0
0At_OMWXfiONFAQ-/,324946,2,4,1,3,2,1.0
0At_OMWXfiONFAQ-/,329124,5,4,4,5,4,4.0
0At_OMWXfiONFAQ-/,340849,2,4,3,3,3,3.0
0At_OMWXfiONFAQ-/,333522,5,5,5,4,4,5.0
0CzBUdiCeHrNb4xmSMt7/,344412,1,5,0,0,0,1.0
0CzBUdiCeHrNb4xmSMt7/,345880,1,1,1,1,2,1.0
0CzBUdiCeHrNb4xmSMt7/,331380,3,3,4,5,3,4.0
0CzBUdiCeHrNb4xmSMt7/,330798,2,3,1,4,4,2.0
0CzBUdiCeHrNb4xmSMt7/,337197,1,3,1,2,1,2.0
0CzBUdiCeHrNb4xmSMt7/,347542,3,3,3,3,2,3.0
0CzBUdiCeHrNb4xmSMt7/,337962,0,1,0,0,0,2.0
0CzBUdiCeHrNb4xmSMt7/,341090,4,4,3,0,0,2.0
0CzBUdiCeHrNb4xmSMt7/,329107,3,3,2,2,2,2.0
0CzBUdiCeHrNb4xmSMt7/,343977,3,0,0,0,0,2.0
0CzBUdiCeHrNb4xmSMt7/,339856,5,0,0,3,0,5.0
0CzBUdiCeHrNb4xmSMt7/,338721,1,3,3,3,0,2.0
0CzBUdiCeHrNb4xmSMt7/,332244,3,1,1,1,3,1.0
0CzBUdiCeHrNb4xmSMt7/,335747,1,1,0,0,0,2.0
0CzBUdiCeHrNb4xmSMt7/,342049,0,1,0,0,0,1.0
0CzBUdiCeHrNb4xmSMt7/,329887,1,1,1,1,3,1.0
0CzBUdiCeHrNb4xmSMt7/,343488,1,0,0,0,0,2.0
0CzBUdiCeHrNb4xmSMt7/,327991,1,3,2,3,3,1.0
0CzBUdiCeHrNb4xmSMt7/,341074,4,4,0,0,0,4.0
0CzBUdiCeHrNb4xmSMt7/,341532,3,0,0,0,0,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,161586,5,5,5,4,4,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,327543,5,5,5,5,3,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,332551,3,4,4,5,4,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,325799,4,4,3,3,3,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,333670,1,5,2,4,4,3.0
0Ks.zdyddD79RZ5kXBAU3A--/,329493,4,5,3,4,5,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,327912,3,4,3,4,3,2.0
0Ks.zdyddD79RZ5kXBAU3A--/,331109,5,5,5,4,5,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,326216,3,5,2,3,5,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,329807,1,4,1,3,3,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,329124,4,5,5,5,5,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,322994,3,5,4,3,3,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,333252,3,5,5,4,4,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,329055,3,3,4,4,1,3.0
0Ks.zdyddD79RZ5kXBAU3A--/,325624,3,4,4,3,3,4.0
0Ks.zdyddD79RZ5kXBAU3A--/,329293,4,4,2,3,3,3.0
0Ks.zdyddD79RZ5kXBAU3A--/,334507,2,4,3,3,3,2.0
0Ks.zdyddD79RZ5kXBAU3A--/,323987,4,5,4,3,5,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,236086,5,4,4,5,5,5.0
0Ks.zdyddD79RZ5kXBAU3A--/,327914,2,4,3,3,3,2.0
0lM8DQaFdDqmh_VMa7d5/,336481,4,4,4,3,3,4.0
0lM8DQaFdDqmh_VMa7d5/,336448,3,4,4,3,3,4.0
0lM8DQaFdDqmh_VMa7d5/,339967,3,4,3,5,3,3.0
0lM8DQaFdDqmh_VMa7d5/,334235,4,4,4,4,5,4.0
0lM8DQaFdDqmh_VMa7d5/,340151,4,5,4,3,5,4.0
0lM8DQaFdDqmh_VMa7d5/,337733,3,4,4,3,4,4.0
