,user_id,item_id,story,casting,direction,images,music,rating
0,.B8l96iDeCvYGIKBOAjXGz4-/,322250,1,1,5,5,3,5.0
1,.B8l96iDeCvYGIKBOAjXGz4-/,322539,5,1,3,1,1,4.0
2,.B8l96iDeCvYGIKBOAjXGz4-/,241898,3,1,5,5,3,4.0
3,.B8l96iDeCvYGIKBOAjXGz4-/,329605,5,1,5,3,5,4.0
4,.B8l96iDeCvYGIKBOAjXGz4-/,85316,3,3,1,5,5,5.0
5,.B8l96iDeCvYGIKBOAjXGz4-/,325467,1,3,5,3,3,3.0
6,.B8l96iDeCvYGIKBOAjXGz4-/,83982,3,3,1,5,1,4.0
7,.B8l96iDeCvYGIKBOAjXGz4-/,329623,3,3,5,3,3,4.0
8,.B8l96iDeCvYGIKBOAjXGz4-/,320824,3,3,5,1,3,5.0
9,.B8l96iDeCvYGIKBOAjXGz4-/,630,3,3,5,3,5,2.0
10,.B8l96iDeCvYGIKBOAjXGz4-/,240796,3,3,1,3,3,3.0
11,.B8l96iDeCvYGIKBOAjXGz4-/,320680,5,1,3,1,3,5.0
12,.B8l96iDeCvYGIKBOAjXGz4-/,324028,5,5,5,1,1,4.0
13,.B8l96iDeCvYGIKBOAjXGz4-/,161374,5,3,1,1,3,3.0
14,.B8l96iDeCvYGIKBOAjXGz4-/,320853,3,3,3,1,3,1.0
15,.B8l96iDeCvYGIKBOAjXGz4-/,327924,3,3,1,5,3,3.0
16,.B8l96iDeCvYGIKBOAjXGz4-/,324246,1,3,3,3,5,4.0
17,.B8l96iDeCvYGIKBOAjXGz4-/,83294,3,3,5,3,1,5.0
18,.B8l96iDeCvYGIKBOAjXGz4-/,329345,5,5,5,1,3,4.0
19,.B8l96iDeCvYGIKBOAjXGz4-/,325801,3,1,1,5,5,5.0
20,0At_OMWXfiONFAQ-/,162811,1,1,3,1,3,5.0
21,0At_OMWXfiONFAQ-/,87248,3,1,3,5,5,2.0
22,0At_OMWXfiONFAQ-/,327994,3,5,3,5,5,5.0
23,0At_OMWXfiONFAQ-/,329400,3,5,3,3,3,4.0
24,0At_OMWXfiONFAQ-/,330569,3,5,5,1,1,3.0
25,0At_OMWXfiONFAQ-/,338475,3,1,1,5,5,3.0
26,0At_OMWXfiONFAQ-/,325624,3,3,3,1,1,3.0
27,0At_OMWXfiONFAQ-/,322931,5,5,1,5,1,5.0
28,0At_OMWXfiONFAQ-/,326052,1,5,1,1,5,5.0
29,0At_OMWXfiONFAQ-/,332673,5,1,3,3,5,3.0
30,0At_OMWXfiONFAQ-/,238828,1,3,1,3,5,3.0
31,0At_OMWXfiONFAQ-/,327912,5,5,5,3,5,4.0
32,0At_OMWXfiONFAQ-/,342451,3,1,5,1,1,5.0
33,0At_OMWXfiONFAQ-/,342785,3,1,1,5,3,3.0
34,0At_OMWXfiONFAQ-/,324256,5,5,5,1,1,4.0
35,0At_OMWXfiONFAQ-/,327786,1,1,5,3,1,1.0
36,0At_OMWXfiONFAQ-/,324946,5,5,5,1,1,1.0
37,0At_OMWXfiONFAQ-/,329124,3,5,5,5,3,4.0
38,0At_OMWXfiONFAQ-/,340849,1,3,3,3,3,3.0
39,0At_OMWXfiONFAQ-/,333522,1,1,3,1,1,5.0
40,0CzBUdiCeHrNb4xmSMt7/,344412,5,3,5,5,3,1.0
41,0CzBUdiCeHrNb4xmSMt7/,345880,5,5,5,3,5,1.0
42,0CzBUdiCeHrNb4xmSMt7/,331380,5,5,5,1,5,4.0
43,0CzBUdiCeHrNb4xmSMt7/,330798,5,1,5,3,3,2.0
44,0CzBUdiCeHrNb4xmSMt7/,337197,5,5,3,3,1,2.0
45,0CzBUdiCeHrNb4xmSMt7/,347542,3,3,3,1,1,3.0
46,0CzBUdiCeHrNb4xmSMt7/,337962,3,1,3,1,5,2.0
47,0CzBUdiCeHrNb4xmSMt7/,341090,3,1,5,1,5,2.0
48,0CzBUdiCeHrNb4xmSMt7/,329107,1,1,1,5,3,2.0
49,0CzBUdiCeHrNb4xmSMt7/,343977,1,5,1,5,3,2.0
50,0CzBUdiCeHrNb4xmSMt7/,339856,1,1,5,1,5,5.0
51,0CzBUdiCeHrNb4xmSMt7/,338721,3,3,3,3,3,2.0
52,0CzBUdiCeHrNb4xmSMt7/,332244,3,5,3,1,3,1.0
53,0CzBUdiCeHrNb4xmSMt7/,335747,1,5,3,5,3,2.0
54,0CzBUdiCeHrNb4xmSMt7/,342049,1,1,1,5,1,1.0
55,0CzBUdiCeHrNb4xmSMt7/,329887,5,5,1,1,1,1.0
56,0CzBUdiCeHrNb4xmSMt7/,343488,1,5,1,5,1,2.0
57,0CzBUdiCeHrNb4xmSMt7/,327991,3,1,3,3,1,1.0
58,0CzBUdiCeHrNb4xmSMt7/,341074,3,3,3,3,1,4.0
59,0CzBUdiCeHrNb4xmSMt7/,341532,3,5,1,3,5,4.0
60,0Ks.zdyddD79RZ5kXBAU3A--/,161586,3,1,5,1,5,5.0
61,0Ks.zdyddD79RZ5kXBAU3A--/,327543,5,3,5,5,3,5.0
62,0Ks.zdyddD79RZ5kXBAU3A--/,332551,3,3,3,3,5,4.0
63,0Ks.zdyddD79RZ5kXBAU3A--/,325799,1,1,3,3,1,4.0
64,0Ks.zdyddD79RZ5kXBAU3A--/,333670,3,3,1,5,5,3.0
65,0Ks.zdyddD79RZ5kXBAU3A--/,329493,3,5,1,5,3,4.0
