user_id,item_id,story,casting,direction,images,music,rating
rudyAUOGfCXgSVhYQpsKPw--/,328272,4,5,4,5,4,4.0
d.pEkhWYbC.3gIowoDZ9eh5hHN8jrmjBaQ--/,329231,3,3,4,4,3,4.0
li0dWw.VdzYeJ1D2/,334591,3,3,3,4,3,4.0
5mRw4HOFYD2FtYti2TbTEUk-/,325136,1,2,1,3,3,1.0
I9wyH16OfC_txSSqHgmo/,347864,4,5,4,4,3,5.0
U8At3I.Cej1WGNVRVgx.gHe_/,338050,1,3,1,3,2,2.0
AEhuPMiUej2MReghjQ--/,87762,4,5,4,4,5,5.0
N1bql5iddDQE9V5oOxE-/,332362,4,4,3,3,3,4.0
bIm4FxqbfCVJxxvH.19j/,331062,3,4,2,5,3,2.0
T.xxdimQdzZ9dxcoTg--/,146461,3,4,3,3,3,3.0
.8R9NXeQYCMHUT9BdGoaVA--/,321009,2,4,1,2,3,1.0
OoBJduGaYC3DWTmpTHzx6mY-/,327795,5,3,3,4,3,4.0
70jnCYaVej28VzEcuZM0.aqPlDA.m9g-/,324537,4,5,3,4,2,4.0
OY7.jK6GfC_wOg1N2BYW6ak-/,328124,3,3,4,3,3,3.0
S3rt4X2TSi_vtfp0aYR.ww--/,51437,5,4,4,3,3,4.0
rdeEAL.FYCPN2k0kOwM-/,329124,5,4,5,5,5,5.0
SrpdNYeefDzzxrzq1cUi/,334516,2,4,3,3,3,3.0
4IGbK1OCdCUR0XuQPXM.OL6RaA--/,330921,3,3,4,3,2,2.0
PIPamuWSdDw_bI8c1w--/,341646,3,5,5,5,5,5.0
DPnnuTiQIHnGr3eJRw--/,328125,1,2,1,3,3,1.0
.8ecL7KRejw0heBM/,347810,1,1,1,5,1,5.0
hNimOlOedCPJ8iwP5as-/,335300,3,4,3,4,3,3.0
LbCdtH2ddDlrXy9QvjSg/,344974,2,3,2,4,3,3.0
6iY3TCGXeXzNlbE-/,335088,4,4,3,4,3,4.0
FwWvN_ObdD1NECXJK0g-/,320424,5,3,3,4,3,5.0
UWmP1jadej3KrEQIqzUs9g--/,329623,4,5,4,5,5,5.0
cIqOCoqCejoOwdqmLYWS7g--/,159812,1,3,1,1,2,1.0
jb2xhOObfBHobwD2ZXGX/,327719,4,5,4,4,4,4.0
etLQQF2ffiGgRcUn9w--/,330573,3,4,3,4,2,3.0
ShI1aQeGejwpUdudWNF6i8xU_6UJ/,325194,1,4,1,3,4,2.0
zuuVstiXSiBhOG_dlWJnDNc-/,326043,5,5,5,4,4,5.0
LU3mHfKBfS8ZUwftWnw-/,336031,3,4,3,3,4,4.0
etLQQF2ffiGgRcUn9w--/,330418,5,3,4,5,4,5.0
KQvo5CiFdCUGkuuwsnZ6FGfdFW8-/,348091,4,3,4,3,2,4.0
ZK80iYabYDyN4OMEvQ7yGVBQcJSp/,346608,4,5,4,4,4,3.0
6q7Wp3ufeD66sZ64YHfTpTI-/,329614,5,4,4,3,3,4.0
r4y8w7SbYCy2f_oNXw--/,339355,1,5,1,1,2,2.0
yPGUiX6FdCzcVw70MOvZTaSI1Q--/,327966,4,4,4,5,4,5.0
ky1OWBeGejcb7VTpGw--/,994,1,2,1,1,1,1.0
5UgbUoiEdyCfZRG_uQ--/,18114,5,5,5,4,5,5.0
vFX8QtOCdCWUhwQJGCJF99w-/,326991,3,3,4,4,3,3.0
RLtyt0qCdCVUmHPH4CqWchA-/,336193,4,2,2,2,1,2.0
yGI033yCcCvI4a5Vcw--/,328614,4,4,3,4,3,4.0
JppWzV2bfSNnMKrXOS1Z4Vqh63IfCOV2tQ--/,332414,4,5,3,4,3,4.0
b3MDwqGbZj9IAoJj8w--/,330418,5,5,5,4,5,5.0
8rQ6fdOdeCVYdb4n1LOo8UQ-/,328271,2,3,2,3,3,3.0
WvkJPG2cfCVtO423g4AcfWCfBCZ0li_d7w--/,330878,3,5,5,5,3,4.0
IJODFxSOdybNJ.huJA--/,333635,4,4,4,4,3,4.0
8._cbWaUfS9dbpE-/,337475,4,4,4,4,5,4.0
O8SbprOdSiMShJmWXaw-/,336307,1,2,1,3,2,1.0
jzDxgL.UdDyF0tYHDLs-/,341459,2,4,2,2,3,4.0
qFekpoGFSia2c0M_mhU-/,337899,2,3,3,4,3,3.0
8QLkQkKdcCeZoKhu/,327496,5,5,5,4,5,5.0
M3DZP9uFdDrzyO5xmrFL5ki4bw--/,324357,2,0,0,0,0,2.0
BIq36YaXbDsRi9_1ECDG3PBl3GRBf5804do-/,323818,2,2,3,2,3,1.0
i2sEwlydYCPllUIUvA--/,338075,3,4,4,4,3,4.0
li6_osKdcCcnFpGy_P5QZLGU/,324944,4,5,5,5,5,5.0
5IqDsyebdDr0G0wSFIb0/,334832,5,5,5,4,3,5.0
HjCYKaiCeiXQ.ePUMzn88Q--/,146864,4,5,4,4,4,4.0
ypvbZYiEejutWWmTYbyL9yrEBX9r/,325435,1,3,2,5,5,1.0
X1Dx2YGFeiAx6XYYKW.Rtjk0zRkR/,12234,5,5,5,3,3,5.0
9bY0HNiRcxE1uS1U/,346263,2,4,5,5,4,2.0
nw3WdDeFfSfwQkG92cLMk6M-/,343233,1,5,5,5,5,5.0
N8FoyYebfCDPrHhiO6wKx8o-/,335765,4,4,3,3,3,3.0
Q1jgpoqeeynqZ5jE/,347810,4,4,3,5,4,5.0
nDjAS6ybfCBMWYMK/,83441,5,5,4,4,4,4.0
TpKmLeeDdiaKYyZklQ--/,240292,5,3,3,3,4,2.0
qMMl0pKadCd4lTCyEb54/,334576,4,3,4,4,5,4.0
TdQuPU2efD21YnPjJf3PS7yo3fEv94zcRA--/,330419,2,5,5,1,3,1.0
K5Pc5NOTezRWodQYgQ--/,237049,4,4,4,4,3,4.0
IWqdbViZZyvtJ_fp6nxUyQ--/,333379,5,5,4,5,5,4.0
E7rnlEudZSwWPsLfYg--/,323681,4,3,2,2,2,3.0
PDY2YGmCeiPUiZG9zK0-/,323067,4,4,4,5,4,4.0
