,user_id,item_id,story,casting,direction,images,music,rating
0,yZhvCtKdejwlllUtjeA-/,338510,4,5,4,5,5,5.0
1,DOfTvruCdCU09koYaTP6SQsX/,332137,4,5,4,4,3,4.0
2,haLviS.UdCA3GEaa5B8-/,326203,4,3,4,5,5,4.0
3,ucGxvwObdCAuCy8fIwUP/,325435,5,5,4,4,4,5.0
4,nATUAHmXZy.Gw8F5rA--/,235845,5,4,5,5,5,5.0
5,PDj_SjudeC2_LfmSwa4-/,329147,3,4,3,3,3,3.0
6,GEczeGyefCNoAMi6rKKXYIgjpWQ-/,335612,4,5,5,4,4,4.0
7,Tmdu0ySbdD31Jz5T04jx2fZStRQ-/,342677,3,5,2,5,5,3.0
8,KFlNECmCdCXDT_rG6gimRf7TBHkmyoI-/,9889,3,3,4,5,2,3.0
9,JuEKTz6YcD4Om5aqHQ--/,344808,2,3,2,3,2,2.0
10,UqTy8G2efCP27pxoeIg-/,333965,2,2,3,3,1,3.0
11,dGKjhl6EeiUONdkI/,342071,3,4,4,3,3,4.0
12,OnLyS.GEcCt22otoXojQIA--/,328959,2,4,2,3,4,3.0
13,515y02SdeCWiks8I8tyZX9M-/,330551,3,4,3,3,3,3.0
14,SGWyCJCfey8luyWztez0.IaDKg--/,327495,1,1,3,3,2,2.0
15,YjM7q.icbSq78mQrKw--/,334591,5,4,5,5,5,5.0
16,Xt7WikSFfSFfcuB34OGO5BW3/,340611,5,4,5,5,5,5.0
17,9XlXGoyaejhruxH5tRPZriLsDxI-/,335765,5,5,5,5,3,5.0
18,ubt9fzifZyfspBeQR1WvXdpPCAE-/,89778,3,3,3,3,4,3.0
19,TtFWK92cdCCouhjm1tIbMQ--/,336109,1,3,2,2,3,2.0
20,D7OA8QuGeSsYafv2kz7n0CUHisCiasg-/,132551,3,5,5,5,5,3.0
21,qLQU1VmecDcmDoV9ru4zZXtj/,327912,4,5,4,4,5,4.0
22,2jaRk8eSdCWUDzmNSEiR7g--/,322926,3,4,3,4,3,3.0
23,e2hloLuGZyHz_H_u_RVAv3Q-/,15578,4,5,5,4,5,5.0
24,8SHH3JubdD2e4RM5ZyVDbvJj81JB46qPi609/,333527,1,2,2,2,2,2.0
25,eBVkx9eDez58peBPKA--/,322120,4,5,5,4,4,5.0
26,SBrssbGYfCVIAobqY9V9BZI-/,342745,2,2,1,1,1,2.0
27,jgvrpLWdfyUpvv0-/,241741,1,3,1,1,1,2.0
28,bsMWhk2BfCAmd25Y7g--/,329736,5,5,4,4,5,5.0
29,mxtUn76UeiAmzloYkcU-/,326060,1,1,1,2,2,1.0
30,o4ql8QGPYCV7.C5zFqMGy7s-/,330914,2,4,4,5,3,3.0
31,y6jB8Z2bfDdaDPXOhA--/,340403,1,5,2,5,5,3.0
32,YQ1Q_nCdYCDlW95pb2qJ/,340698,3,4,3,4,4,3.0
33,TbGVbkOGfD7nZ6odvQ--/,329291,4,5,1,3,4,3.0
34,NJANG5mSZS8nQxuc_A--/,327031,5,5,4,4,3,5.0
35,zINjqb6dcCfxI6Pjr81srAzOGA--/,344585,2,2,2,4,4,2.0
36,6doJvFOacC02q7Gg.FyXDZleXA--/,336827,4,5,4,4,3,4.0
37,swUniTaddDfdB0o0BZvj_3j8u0w-/,344047,5,5,5,4,4,5.0
38,ocxnsm.Ucj5YXe.z8g--/,321184,4,5,4,5,5,5.0
39,7UYCV0WPejuzPP2gYw--/,330764,1,3,1,4,3,2.0
40,KZosZrqCdCT7UA0Y0g--/,326724,3,5,4,3,4,3.0
41,IGBCiEKFdCUFvaNADUMb9gM-/,326008,1,3,3,3,2,3.0
42,5UrQaEadYSWw6xI3yVlt/,337962,3,4,3,3,3,3.0
43,9bcYeiedeieYdkP3E7JJVUIHyia5nZkd/,334577,3,5,3,4,5,4.0
44,1W4FMHmfeDtZ_se43Q--/,328271,4,5,5,4,5,5.0
45,IjX0rzaVeSeG2fEDXg6J/,323841,5,5,5,5,4,5.0
